NE,Eljen,St. Gobain,Type,"Light Output % 
Anthracene","Wavelenght of Max 
Emission (nm) ",Decay Constant,Attenuation Length (cm),Refractive Index,H/C Ratio,Density ,"Loading Element %
 by weight or dist. 
feature","Softening or Flash Point 
(°C)",Uses 
,Anthracene ,,Crystal,100,447,30,,1.62,0.715,1.25,,217,
,Stilbene ,,Crystal,50,410,4.5,,1.626,0.858,1.16,,125,
NE-102A,"<a href=""https://eljentechnology.com/images/products/data_sheets/EJ-200_EJ-204_EJ-208_EJ-212.pdf"">EJ-212</a>","<a href =""https://www.crystals.saint-gobain.com/radiation-detection-scintillators/plastic-scintillators/bc400-bc404-bc408-bc412-bc416"">BC-400</a>",Plastic,65,423,2.4,250,1.581,1.103,1.023,,70,"General purpose, 
Good general properties, 
thin films"
NE-104,"<a href=""https://eljentechnology.com/images/products/data_sheets/EJ-200_EJ-204_EJ-208_EJ-212.pdf"">EJ-204</a>","<a href =""https://www.crystals.saint-gobain.com/radiation-detection-scintillators/plastic-scintillators/bc400-bc404-bc408-bc412-bc416"">BC-404</a>",Plastic,68,408,1.8,160,1.58,1.107,1.023,1.85 ns time constant,70,"Fast counting,
 Good general properties, 
High attenuation length "
Pilot F ,"<a href=""https://eljentechnology.com/images/products/data_sheets/EJ-200_EJ-204_EJ-208_EJ-212.pdf"">EJ-200</a>","<a href =""https://www.crystals.saint-gobain.com/radiation-detection-scintillators/plastic-scintillators/bc400-bc404-bc408-bc412-bc416"">BC-408</a>",Plastic,64,425,2.1,380,1.58,1.104,1.023,,70,"TOF counters, 
large area, 
Best overall general properties "
NE-110,"<a href=""https://eljentechnology.com/images/products/data_sheets/EJ-200_EJ-204_EJ-208_EJ-212.pdf"">EJ-208</a>","<a href =""https://www.crystals.saint-gobain.com/radiation-detection-scintillators/plastic-scintillators/bc400-bc404-bc408-bc412-bc416"">BC-412</a>",Plastic,60,435,3.3,400,1.58,1.104,1.023,Longest attn. length,70,"General purpose, 
large area, 
long strips "
,,"<a href =""https://www.crystals.saint-gobain.com/radiation-detection-scintillators/plastic-scintillators/bc400-bc404-bc408-bc412-bc416"">BC-416</a>",Plastic,38,434,4,210,1.58,1.104,1.023,,70," Alphas, betas, charged particles, 
cosmic rays, muons, protons. 
Large area economy"
,,"<a href =""https://www.crystals.saint-gobain.com/radiation-detection-scintillators/plastic-scintillators/fast-timing-bc-418-bc-420-bc-422-bc-422q"">BC-418</a>",Plastic,67,391,1.4,100,1.58,1.102,1.023,1.4 ns time constant,70,"Ultra fasta timing, small sizes"
,"<a href=""https://eljentechnology.com/images/products/data_sheets/EJ-228_EJ-230.pdf"">EJ-230</a>","<a href =""https://www.crystals.saint-gobain.com/radiation-detection-scintillators/plastic-scintillators/fast-timing-bc-418-bc-420-bc-422-bc-422q"">BC-420</a>",Plastic,64,391,1.5,120,1.58,1.1,1.032,1.5 ns time constant ,70,"Ultrafast timing, sheet areas, 
Variant of EJ-228, 
Used for detector dimensions 
exceeding 10 cm"
NE-111A,"<a href=""https://eljentechnology.com/images/products/data_sheets/EJ-232_EJ-232Q.pdf"">EJ-232</a>","<a href =""https://www.crystals.saint-gobain.com/radiation-detection-scintillators/plastic-scintillators/fast-timing-bc-418-bc-420-bc-422-bc-422q"">BC-422</a>",Plastic,55,370,1.6,8,1.58,1.102,1.023,1.4 ns time constant ,70,"Very fast timing, small sizes, 
Very fast timing, Use with blue 
WLS, Small sizes(<10 cm)  "
